05/29/09 01:34:19 classRpmEngine failed to add to transaction  /var/cache/axtu/updates-released/packages/glibc-2.5-34.1AXS3.i686.rpm
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.3)(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by acl-2.2.39-3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by acpid-1.0.4-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by acpid-1.0.4-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by acpid-1.0.4-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by acpid-1.0.4-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by acpid-1.0.4-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2()(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2(GLIBC_2.2.5)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6(GLIBC_2.2.5)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.3.2)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	librt.so.1()(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	librt.so.1(GLIBC_2.2.5)(64bit) is needed by alsa-lib-1.0.17-1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	e4fsprogs is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2()(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libresolv.so.2()(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libresolv.so.2(GLIBC_2.2.5)(64bit) is needed by anaconda-11.1.2.168-1.9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	ld-linux-x86-64.so.2()(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	ld-linux-x86-64.so.2(GLIBC_2.3)(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by apcupsd-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	ld-linux-x86-64.so.2()(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	ld-linux-x86-64.so.2(GLIBC_2.3)(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by apcupsd-multimon-3.14.3-1.3AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libcrypt.so.1()(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libcrypt.so.1(GLIBC_2.2.5)(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2()(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by apr-util-1.2.7-7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by arpwatch-2.1a13-21AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by arpwatch-2.1a13-21AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by arpwatch-2.1a13-21AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by arpwatch-2.1a13-21AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by arpwatch-2.1a13-21AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.2)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by audit-1.7.7-6AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6(GLIBC_2.2.5)(64bit) is needed by audit-1.7.7-6AXS3.x86_64
